coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
VVV,221,8.861,430.27,0.8175,351.7284,5.423958,LONG,hyperliquid
MON,203,0.030039,175.49,0.7811,137.0752,0.023873,LONG,hyperliquid
GRASS,221,0.34791,202.94,0.6082,123.4236,0.287937,LONG,hyperliquid
xyz:CL,113,98.325,154.17,0.6694,103.2013,81.76119,LONG,hyperliquid
GRIFFAIN,221,0.017585,182.24,0.5312,96.8013,0.011927,LONG,hyperliquid
TAO,221,247.55,165.19,0.5286,87.3217,233.4446,LONG,hyperliquid
HYPE,221,41.16,114.1,0.6862,78.2972,34.54774,LONG,hyperliquid
KAITO,221,0.43797,94.77,0.6401,60.6626,0.37674,LONG,hyperliquid
RENDER,221,1.7691,100.33,0.5786,58.0552,1.665798,LONG,hyperliquid
MORPHO,221,1.9282,121.32,0.4749,57.6191,1.590353,NEUTRAL,hyperliquid
xyz:INTC,147,84.173,123.88,0.4612,57.1318,51.2653,NEUTRAL,hyperliquid
SKY,221,0.088444,77.04,0.7322,56.4062,0.071509,LONG,hyperliquid
FET,221,0.20253,117.32,0.4583,53.7714,0.199241,NEUTRAL,hyperliquid
TRX,221,0.32415,54.36,0.8594,46.7177,0.30063,LONG,hyperliquid
NEAR,221,1.3623,78.46,0.4772,37.4414,1.260785,NEUTRAL,hyperliquid
xyz:NFLX,142,91.485,66.02,0.5325,35.1518,90.51841,LONG,hyperliquid
xyz:AMD,146,330.14,90.74,0.357,32.3916,227.0073,NEUTRAL,hyperliquid
kLUNC,221,0.067553,81.18,0.3773,30.63,0.039815,NEUTRAL,hyperliquid
ZEREBRO,221,0.0182,126.31,0.2198,27.7617,0.009176,NEUTRAL,hyperliquid
LOOM,219,0.005317,202.81,0.1181,23.9614,0.00311,NEUTRAL,yahoo:LOOM-USD
AIXBT,221,0.026971,61.99,0.2768,17.1608,0.024572,NEUTRAL,hyperliquid
REZ,221,0.003971,56.04,0.2758,15.4557,0.00352,NEUTRAL,hyperliquid
COMP,221,23.19,53.32,0.2276,12.1328,19.69834,NEUTRAL,hyperliquid
ZEC,221,339.71,72.34,0.1605,11.6105,277.9497,NEUTRAL,hyperliquid
xyz:AMZN,162,260.17,42.41,0.2662,11.2876,221.6632,NEUTRAL,hyperliquid
JTO,221,0.34286,46.08,0.2283,10.5208,0.29815,NEUTRAL,hyperliquid
TRB,221,18.309,44.16,0.2298,10.1492,16.23965,NEUTRAL,hyperliquid
xyz:MSTR,148,168.48,44.19,0.2067,9.1328,140.0476,NEUTRAL,hyperliquid
POLYX,221,0.0491,39.22,0.2302,9.0297,0.046885,NEUTRAL,hyperliquid
ORDI,221,4.334,84.42,0.1069,9.0227,3.05312,NEUTRAL,hyperliquid
ALGO,221,0.11501,47.18,0.1723,8.131,0.099442,NEUTRAL,hyperliquid
CFX,221,0.059751,41.29,0.184,7.5984,0.056179,NEUTRAL,hyperliquid
