pair_id,leg_a,leg_b,category,source,timeframe,n_aligned,bars_used,beta,alpha,spread_current,spread_mean,spread_std,zscore,zscore_threshold,half_life_hours,corr_72,corr_168,slope_a_ann_pct,r2_a,slope_b_ann_pct,r2_b,slope_a_24h_ann_pct,slope_b_24h_ann_pct,mean_reversion_ok,correlation_ok,latest_price_a,latest_price_b,mr_signal,mom_signal,mr_score,final_pair_score,display_pair,long_leg,short_leg,trade_label
BNB-SOL,BNB,SOL,layer1,discovered,1h,841,120,1.2019,-3.299523,0.031572,-0.005893,0.019188,1.9525,2.0,28.6,0.7813,0.8179,247.15,0.2512,1103.58,0.7278,-486.1,252.21,True,True,668.7,94.726,WATCH,NEUTRAL,0.6678,0.6678,BNB-SOL,BNB,SOL,Long BNB / Short SOL
BNB-BTC,BNB,BTC,layer1,discovered,1h,841,120,0.9565,4.972454,0.017113,0.000236,0.009134,1.8477,2.0,24.0,0.8534,0.8637,247.15,0.2512,611.65,0.7492,-486.1,-178.66,True,True,668.7,73985.0,WATCH,NEUTRAL,0.6894,0.6894,BNB-BTC,BNB,BTC,Long BNB / Short BTC
AVAX-ETH,AVAX,ETH,layer1,discovered,1h,841,120,0.9265,5.550209,0.04855,0.007589,0.023774,1.7229,2.0,27.9,0.8211,0.8326,852.1,0.6164,1662.86,0.8207,-518.56,-25.1,True,True,10.192,2320.9,WATCH,NEUTRAL,0.6551,0.6551,AVAX-ETH,AVAX,ETH,Long AVAX / Short ETH
AVAX-LINK,AVAX,LINK,defi,discovered,1h,841,120,0.8078,0.389117,0.017802,-0.004554,0.013281,1.6832,2.0,23.2,0.8133,0.8655,852.1,0.6164,1042.29,0.7431,-518.56,81.95,True,True,10.192,9.8002,WATCH,NEUTRAL,0.6742,0.6742,AVAX-LINK,AVAX,LINK,Long AVAX / Short LINK
AVAX-LTC,AVAX,LTC,mixed,discovered,1h,841,120,0.5328,2.812981,0.011717,-0.007939,0.011912,1.6502,2.0,20.6,0.7796,0.805,852.1,0.6164,856.4,0.763,-518.56,185.23,True,True,10.192,58.071,WATCH,NEUTRAL,0.6285,0.6285,AVAX-LTC,AVAX,LTC,Long AVAX / Short LTC
BNB-LINK,BNB,LINK,defi,discovered,1h,841,120,1.0814,-4.784254,0.031934,-0.003174,0.021363,1.6434,2.0,30.8,0.8343,0.8527,247.15,0.2512,1042.29,0.7431,-486.1,81.95,True,True,668.7,9.8002,WATCH,NEUTRAL,0.6612,0.6612,BNB-LINK,BNB,LINK,Long BNB / Short LINK
SOL-BTC,SOL,BTC,layer1,pinned,1h,841,120,0.7089,7.984097,0.001251,0.010403,0.00602,-1.5203,2.0,32.4,0.7507,0.8289,1103.58,0.7278,611.65,0.7492,252.21,-178.66,True,True,94.726,73985.0,WATCH,NEUTRAL,0.6323,0.6323,SOL-BTC,SOL,BTC,Long SOL / Short BTC
BTC-ETH,BTC,ETH,layer1,pinned,1h,841,120,1.279,-6.633509,0.043929,0.009842,0.023128,1.4739,2.0,48.1,0.8446,0.8913,611.65,0.7492,1662.86,0.8207,-178.66,-25.1,True,True,73985.0,2320.9,WATCH,NEUTRAL,0.6708,0.6708,BTC-ETH,BTC,ETH,Long BTC / Short ETH
ADA-HBAR,ADA,HBAR,mixed,discovered,1h,841,120,0.6828,-1.437893,-0.029263,-0.016258,0.010038,-1.2956,2.0,25.7,0.7945,0.816,1393.38,0.7349,647.6,0.6875,420.49,-232.33,True,True,0.28911,0.098815,WATCH,NEUTRAL,0.6008,0.6008,ADA-HBAR,ADA,HBAR,Long ADA / Short HBAR
AVAX-BTC,AVAX,BTC,layer1,discovered,1h,841,120,0.6739,9.638314,0.008717,0.002202,0.005113,1.2741,2.0,22.6,0.7637,0.8018,852.1,0.6164,611.65,0.7492,-518.56,-178.66,True,True,10.192,73985.0,WATCH,NEUTRAL,0.5887,0.5887,AVAX-BTC,AVAX,BTC,Long AVAX / Short BTC
