pair_id,long_asset,short_asset,display_pair,trade_label,slope_ann_pct,r2,momentum_score,bars_used,timeframe
AXS-OP,AXS,OP,AXS-OP,Long AXS / Short OP,343.28,0.719,246.8295,221,1d
TAO-W,TAO,W,TAO-W,Long TAO / Short W,292.35,0.8217,240.2086,221,1d
FET-OP,FET,OP,FET-OP,Long FET / Short OP,290.66,0.8251,239.8319,221,1d
LDO-TAO,TAO,LDO,TAO-LDO,Long TAO / Short LDO,-260.71,0.8702,-226.8799,221,1d
OP-xyz:MSFT,xyz:MSFT,OP,xyz:MSFT-OP,Long xyz:MSFT / Short OP,-276.35,0.8241,-227.7416,137,1d
APE-xyz:AMZN,xyz:AMZN,APE,xyz:AMZN-APE,Long xyz:AMZN / Short APE,-244.47,0.934,-228.322,138,1d
APE-RENDER,RENDER,APE,RENDER-APE,Long RENDER / Short APE,-260.03,0.879,-228.5732,221,1d
GALA-TAO,TAO,GALA,TAO-GALA,Long TAO / Short GALA,-286.57,0.8072,-231.3364,221,1d
APE-xyz:GOOGL,xyz:GOOGL,APE,xyz:GOOGL-APE,Long xyz:GOOGL / Short APE,-258.54,0.9107,-235.4405,138,1d
STRK-xyz:NVDA,xyz:NVDA,STRK,xyz:NVDA-STRK,Long xyz:NVDA / Short STRK,-263.04,0.8984,-236.3111,144,1d
STRK-xyz:AAPL,xyz:AAPL,STRK,xyz:AAPL-STRK,Long xyz:AAPL / Short STRK,-270.32,0.8798,-237.8345,135,1d
DYDX-TAO,TAO,DYDX,TAO-DYDX,Long TAO / Short DYDX,-276.25,0.8657,-239.1581,221,1d
STRK-xyz:XYZ100,xyz:XYZ100,STRK,xyz:XYZ100-STRK,Long xyz:XYZ100 / Short STRK,-263.43,0.9128,-240.4502,174,1d
OP-xyz:TSLA,xyz:TSLA,OP,xyz:TSLA-OP,Long xyz:TSLA / Short OP,-294.66,0.8222,-242.2666,143,1d
APE-xyz:NVDA,xyz:NVDA,APE,xyz:NVDA-APE,Long xyz:NVDA / Short APE,-270.63,0.9031,-244.4228,144,1d
ARB-TAO,TAO,ARB,TAO-ARB,Long TAO / Short ARB,-280.47,0.8759,-245.6598,221,1d
APE-xyz:AAPL,xyz:AAPL,APE,xyz:AAPL-APE,Long xyz:AAPL / Short APE,-277.92,0.8847,-245.8787,135,1d
APE-xyz:XYZ100,xyz:XYZ100,APE,xyz:XYZ100-APE,Long xyz:XYZ100 / Short APE,-271.02,0.9175,-248.6664,174,1d
STRK-TAO,TAO,STRK,TAO-STRK,Long TAO / Short STRK,-306.57,0.8429,-258.4128,221,1d
OP-xyz:META,xyz:META,OP,xyz:META-OP,Long xyz:META / Short OP,-318.61,0.8164,-260.1155,136,1d
ENA-TAO,TAO,ENA,TAO-ENA,Long TAO / Short ENA,-300.75,0.8697,-261.5513,221,1d
APE-TAO,TAO,APE,TAO-APE,Long TAO / Short APE,-314.16,0.8393,-263.6574,221,1d
OP-xyz:AMZN,xyz:AMZN,OP,xyz:AMZN-OP,Long xyz:AMZN / Short OP,-305.06,0.8703,-265.5084,138,1d
AR-TAO,TAO,AR,TAO-AR,Long TAO / Short AR,-295.52,0.9088,-268.558,221,1d
OP-xyz:GOOGL,xyz:GOOGL,OP,xyz:GOOGL-OP,Long xyz:GOOGL / Short OP,-319.13,0.8657,-276.2611,138,1d
OP-xyz:NVDA,xyz:NVDA,OP,xyz:NVDA-OP,Long xyz:NVDA / Short OP,-331.23,0.8465,-280.3773,144,1d
OP-xyz:AAPL,xyz:AAPL,OP,xyz:AAPL-OP,Long xyz:AAPL / Short OP,-338.51,0.831,-281.3199,135,1d
OP-xyz:XYZ100,xyz:XYZ100,OP,xyz:XYZ100-OP,Long xyz:XYZ100 / Short OP,-331.61,0.8604,-285.3182,174,1d
OP-RENDER,RENDER,OP,RENDER-OP,Long RENDER / Short OP,-320.63,0.9025,-289.3588,221,1d
OP-TAO,TAO,OP,TAO-OP,Long TAO / Short OP,-374.75,0.8474,-317.563,221,1d
