pair_id,leg_a,leg_b,status,exclusion_reason,discovery_score,corr_168,half_life_hours,n_aligned,vol_ratio
AAVE-ADA,AAVE,ADA,candidate,,0.7892,0.719,36.7,841,0.8908
AAVE-APT,AAVE,APT,candidate,,0.6632,0.5571,49.6,841,0.9748
AAVE-ARB,AAVE,ARB,candidate,,0.7343,0.743,73.0,841,0.9783
AAVE-ATOM,AAVE,ATOM,excluded_low_correlation,corr_168=0.398 < 0.4,,0.3982,57.7,841,0.7868
AAVE-AVAX,AAVE,AVAX,candidate,,0.6344,0.7462,108.1,841,0.8239
AAVE-BNB,AAVE,BNB,candidate,,0.7184,0.7431,78.5,841,0.5883
AAVE-BOME,AAVE,BOME,candidate,,0.5277,0.5678,98.8,841,0.8614
AAVE-BTC,AAVE,BTC,candidate,,0.6911,0.7639,93.2,841,0.6369
AAVE-CRV,AAVE,CRV,candidate,,0.7482,0.6643,39.9,841,0.9543
AAVE-DOGE,AAVE,DOGE,candidate,,0.7353,0.6471,28.1,841,0.9102
AAVE-DOT,AAVE,DOT,candidate,,0.5463,0.5608,90.6,841,0.9979
AAVE-ENA,AAVE,ENA,candidate,,0.7508,0.747,68.4,841,0.957
AAVE-ETH,AAVE,ETH,candidate,,0.4847,0.7796,238.3,841,0.7967
AAVE-ETHFI,AAVE,ETHFI,candidate,,0.6152,0.5678,68.8,841,0.9883
AAVE-HBAR,AAVE,HBAR,candidate,,0.7929,0.7239,24.6,841,0.8142
AAVE-ICP,AAVE,ICP,excluded_low_correlation,corr_168=0.255 < 0.4,,0.2554,70.0,841,0.892
AAVE-INJ,AAVE,INJ,candidate,,0.7746,0.7103,50.8,841,0.9483
AAVE-JTO,AAVE,JTO,candidate,,0.7475,0.6633,31.7,841,0.7882
AAVE-JUP,AAVE,JUP,candidate,,0.6289,0.6915,95.9,841,0.9434
AAVE-LDO,AAVE,LDO,candidate,,0.8057,0.7409,46.1,841,0.928
AAVE-LINK,AAVE,LINK,candidate,,0.7401,0.8074,87.6,841,0.8194
AAVE-LTC,AAVE,LTC,candidate,,0.81,0.7509,49.1,841,0.6882
AAVE-NEAR,AAVE,NEAR,candidate,,0.2544,0.4725,177.1,841,0.9274
AAVE-OP,AAVE,OP,candidate,,0.6088,0.6588,94.4,841,0.9454
AAVE-PENDLE,AAVE,PENDLE,candidate,,0.7466,0.6769,51.8,841,0.9967
AAVE-SEI,AAVE,SEI,candidate,,0.6719,0.5664,49.0,841,0.7654
AAVE-SOL,AAVE,SOL,candidate,,0.6641,0.7446,97.5,841,0.8731
AAVE-STRK,AAVE,STRK,candidate,,0.4833,0.4573,85.6,841,0.8799
AAVE-STX,AAVE,STX,candidate,,0.773,0.6974,34.2,841,0.8815
AAVE-SUI,AAVE,SUI,candidate,,0.6863,0.6918,76.3,841,0.9901
AAVE-TIA,AAVE,TIA,candidate,,0.5846,0.5741,80.9,841,0.9762
AAVE-UNI,AAVE,UNI,candidate,,0.8157,0.7543,45.6,841,0.8795
AAVE-WIF,AAVE,WIF,candidate,,0.5966,0.5959,82.4,841,0.8598
AAVE-XRP,AAVE,XRP,candidate,,0.6877,0.5836,29.6,841,0.8161
ADA-APT,ADA,APT,candidate,,0.6385,0.5938,67.5,841,0.8684
ADA-ARB,ADA,ARB,candidate,,0.662,0.7772,106.6,841,0.8715
ADA-ATOM,ADA,ATOM,candidate,,0.3004,0.5339,216.5,841,0.8832
ADA-AVAX,ADA,AVAX,candidate,,0.5402,0.8416,164.9,841,0.9249
ADA-BNB,ADA,BNB,candidate,,0.6248,0.7334,108.1,841,0.6604
ADA-BOME,ADA,BOME,candidate,,0.5625,0.6555,109.4,841,0.7674
ADA-BTC,ADA,BTC,candidate,,0.6271,0.7439,110.0,841,0.7149
ADA-CRV,ADA,CRV,candidate,,0.785,0.7133,43.8,841,0.9335
ADA-DOGE,ADA,DOGE,candidate,,0.8462,0.8217,54.9,841,0.9787
ADA-DOT,ADA,DOT,candidate,,0.4045,0.6727,207.9,841,0.8889
ADA-ENA,ADA,ENA,candidate,,0.6156,0.7682,120.2,841,0.8525
ADA-ETH,ADA,ETH,candidate,,0.485,0.78,436.2,841,0.8944
ADA-ETHFI,ADA,ETHFI,candidate,,0.4952,0.5474,104.7,841,0.8804
ADA-HBAR,ADA,HBAR,discovered,,0.862,0.816,25.7,841,0.914
ADA-ICP,ADA,ICP,excluded_low_correlation,corr_168=0.226 < 0.4,,0.2255,96.9,841,0.7946
ADA-INJ,ADA,INJ,candidate,,0.7872,0.7664,60.9,841,0.8447
ADA-JTO,ADA,JTO,candidate,,0.7272,0.6362,32.3,841,0.7021
ADA-JUP,ADA,JUP,candidate,,0.5981,0.7018,109.1,841,0.8404
ADA-LDO,ADA,LDO,candidate,,0.7049,0.7629,88.2,841,0.9599
ADA-LINK,ADA,LINK,candidate,,0.6041,0.8073,134.2,841,0.9198
ADA-LTC,ADA,LTC,candidate,,0.8414,0.8263,57.7,841,0.7725
ADA-NEAR,ADA,NEAR,candidate,,0.2884,0.5178,350.8,841,0.8262
ADA-OP,ADA,OP,candidate,,0.372,0.6293,207.6,841,0.8422
ADA-PENDLE,ADA,PENDLE,candidate,,0.7299,0.6581,52.7,841,0.8878
ADA-SEI,ADA,SEI,candidate,,0.4909,0.5141,97.6,841,0.8592
ADA-SOL,ADA,SOL,candidate,,0.5909,0.7579,126.0,841,0.9802
ADA-STRK,ADA,STRK,candidate,,0.3082,0.5442,266.8,841,0.9877
ADA-STX,ADA,STX,candidate,,0.7973,0.7297,40.9,841,0.9895
ADA-SUI,ADA,SUI,candidate,,0.6951,0.8299,108.8,841,0.882
ADA-TIA,ADA,TIA,candidate,,0.5613,0.5971,94.8,841,0.8696
ADA-UNI,ADA,UNI,candidate,,0.697,0.6719,67.5,841,0.7835
ADA-WIF,ADA,WIF,candidate,,0.3918,0.6557,230.0,841,0.7659
ADA-XRP,ADA,XRP,candidate,,0.8339,0.7785,46.2,841,0.9161
APT-ARB,APT,ARB,candidate,,0.571,0.7562,132.4,841,0.9965
APT-ATOM,APT,ATOM,candidate,,0.6437,0.5381,51.4,841,0.767
APT-AVAX,APT,AVAX,candidate,,0.6617,0.6337,69.8,841,0.8032
APT-BNB,APT,BNB,candidate,,0.5906,0.5264,66.6,841,0.5735
APT-BOME,APT,BOME,candidate,,0.5272,0.5139,85.1,841,0.8836
APT-BTC,APT,BTC,candidate,,0.5891,0.5369,69.8,841,0.6208
