coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
xyz:MU,189,1237.4,371.05,0.9594,356.004,680.8976,LONG,hyperliquid
xyz:AMD,204,536.39,297.35,0.8904,264.7658,375.9314,LONG,hyperliquid
JTO,221,0.6885,287.4,0.9087,261.153,0.440568,LONG,hyperliquid
xyz:INTC,205,138.06,296.23,0.792,234.6245,92.16561,LONG,hyperliquid
VVV,221,13.3,293.43,0.7461,218.9215,11.830372,LONG,hyperliquid
INJ,221,4.2127,226.05,0.7681,173.636,4.202744,LONG,hyperliquid
IO,221,0.17346,192.15,0.8503,163.3783,0.137403,LONG,hyperliquid
HYPE,221,64.171,198.71,0.8062,160.2038,49.2911,LONG,hyperliquid
NEAR,221,1.9693,212.8,0.7423,157.959,1.681731,LONG,hyperliquid
MANTA,221,0.08289,95.74,0.8195,78.4663,0.07191,LONG,hyperliquid
