coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
MEGA,221,0.046274,-444.78,0.8592,-382.1448,0.094261,SHORT,hyperliquid
0G,221,0.18949,-373.26,0.9313,-347.6132,0.417226,SHORT,hyperliquid
BCH,221,243.81,-296.89,0.8046,-238.8668,335.0157,SHORT,hyperliquid
ZORA,221,0.00701,-245.07,0.9361,-229.4164,0.010838,SHORT,hyperliquid
MERL,221,0.017473,-252.0,0.8687,-218.9205,0.026887,SHORT,hyperliquid
BERA,221,0.19532,-245.75,0.8647,-212.4976,0.323245,SHORT,hyperliquid
FOGO,214,0.00987,-244.36,0.8611,-210.4272,0.015249,SHORT,hyperliquid
SKR,172,0.009128,-246.27,0.8321,-204.9158,0.013153,SHORT,hyperliquid
YGG,221,0.022112,-236.44,0.8481,-200.5172,0.033542,SHORT,hyperliquid
BIGTIME,221,0.007245,-228.73,0.8766,-200.4909,0.011034,SHORT,hyperliquid
