hyperliquid_symbol,parsed_base_symbol,asset_type_guess,hyperliquid_fetch_ok,yahoo_symbol_used,yahoo_fetch_ok,number_of_closes,failure_stage,exclusion_reason,slope_ann_pct,r2,momentum_score,signal
xyz:AAPL,AAPL,stock,True,,False,153,in_rankings,,-5.38,0.0306,-0.1648,NEUTRAL
xyz:NVDA,NVDA,stock,True,,False,162,in_rankings,,-1.01,0.0005,-0.0005,NEUTRAL
xyz:TSLA,TSLA,stock,True,,False,161,in_rankings,,-52.36,0.6827,-35.746,SHORT
xyz:MSFT,MSFT,stock,True,,False,155,in_rankings,,-33.54,0.3113,-10.4425,NEUTRAL
xyz:AMZN,AMZN,stock,True,,False,156,in_rankings,,11.49,0.0251,0.2888,NEUTRAL
xyz:META,META,stock,True,,False,154,in_rankings,,-32.43,0.2257,-7.32,NEUTRAL
xyz:GOOGL,GOOGL,stock,True,,False,156,in_rankings,,-13.65,0.0648,-0.8847,NEUTRAL
xyz:COIN,COIN,stock,True,,False,149,in_rankings,,6.86,0.0053,0.0362,NEUTRAL
xyz:NFLX,NFLX,stock,True,,False,136,in_rankings,,70.35,0.5916,41.6245,LONG
xyz:AMD,AMD,stock,True,,False,140,in_rankings,,23.83,0.0467,1.1139,NEUTRAL
xyz:INTC,INTC,stock,True,,False,141,in_rankings,,78.17,0.345,26.9727,NEUTRAL
xyz:ORCL,ORCL,stock,True,,False,139,in_rankings,,-9.15,0.0153,-0.1402,NEUTRAL
xyz:MU,MU,stock,True,,False,125,in_rankings,,2.78,0.0014,0.0039,NEUTRAL
xyz:PLTR,PLTR,stock,True,,False,160,in_rankings,,-6.3,0.0083,-0.0522,NEUTRAL
xyz:MSTR,MSTR,stock,True,,False,142,in_rankings,,-0.57,0.0,-0.0,NEUTRAL
xyz:HOOD,HOOD,stock,True,,False,148,in_rankings,,-58.99,0.2324,-13.7091,NEUTRAL
xyz:RIVN,RIVN,stock,True,,False,99,insufficient_history_after_fetch,Only 99 daily closes (need >= 100),,,,
xyz:BABA,BABA,stock,True,,False,98,insufficient_history_after_fetch,Only 98 daily closes (need >= 100),,,,
xyz:TSM,TSM,stock,True,,False,79,insufficient_history_after_fetch,Only 79 daily closes (need >= 100),,,,
xyz:GOLD,GOLD,commodity,True,,False,122,in_rankings,,-28.04,0.3217,-9.0221,NEUTRAL
xyz:SILVER,SILVER,commodity,True,,False,118,in_rankings,,-67.36,0.3367,-22.6795,NEUTRAL
xyz:CL,CL,commodity,True,,False,107,in_rankings,,164.84,0.7108,117.1701,LONG
xyz:NATGAS,NATGAS,commodity,True,,False,92,insufficient_history_after_fetch,Only 92 daily closes (need >= 100),,,,
xyz:COPPER,COPPER,commodity,True,,False,99,insufficient_history_after_fetch,Only 99 daily closes (need >= 100),,,,
xyz:XYZ100,XYZ100,index,True,,False,192,in_rankings,,-3.31,0.0108,-0.0357,NEUTRAL
