coin,slope_ann_pct,r2,momentum_score,signal,n_closes
xyz:MU,344.33,0.9215,317.3096,LONG,180
xyz:AMD,325.63,0.9261,301.565,LONG,195
xyz:INTC,337.53,0.8357,282.0834,LONG,196
xyz:ORCL,123.67,0.7369,91.136,LONG,194
xyz:XYZ100,81.03,0.8801,71.3178,LONG,221
xyz:TSM,81.37,0.8429,68.5883,LONG,134
xyz:AAPL,69.85,0.8594,60.0296,LONG,208
xyz:GOOGL,81.05,0.5952,48.2404,LONG,148
xyz:NVDA,70.71,0.6499,45.956,LONG,217
xyz:COPPER,52.95,0.802,42.47,LONG,154
xyz:NFLX,-53.92,0.6513,-35.1208,SHORT,191
xyz:AMZN,65.22,0.4458,29.0741,NEUTRAL,211
xyz:HOOD,66.34,0.4199,27.8597,NEUTRAL,203
xyz:TSLA,48.44,0.5053,24.4758,LONG,216
xyz:NATGAS,40.13,0.4347,17.4466,NEUTRAL,147
xyz:CL,-32.62,0.1874,-6.1134,NEUTRAL,162
xyz:GOLD,-19.6,0.3067,-6.0136,NEUTRAL,177
xyz:PLTR,-23.88,0.181,-4.3219,NEUTRAL,215
xyz:MSFT,20.34,0.1785,3.6306,NEUTRAL,148
xyz:COIN,-18.71,0.046,-0.8599,NEUTRAL,204
xyz:MSTR,20.22,0.0183,0.3694,NEUTRAL,197
xyz:BABA,-9.46,0.0264,-0.2494,NEUTRAL,153
xyz:RIVN,4.55,0.004,0.0181,NEUTRAL,154
xyz:META,2.56,0.0019,0.0049,NEUTRAL,209
xyz:SILVER,-2.02,0.0011,-0.0022,NEUTRAL,173
